날짜,경기선행지수,건설업주가지수,소비자물가지수,생산산업지수,종가,국고채 3년,종가,국내총생산(명목GDP),경제성장률(실질GDP성장률)
2014-04-01,99.56008,137.68,94.214,91.6,"1,113.07",2.88,1961.79,388566.9,3.4
2014-05-01,99.52673,131.82,94.369,90.7,"1,133.19",2.84,1994.96,388566.9,3.4
2014-06-01,99.50606,138.4,94.248,92.7,"1,130.27",2.75,2002.21,388566.9,3.4
2014-07-01,99.5153,153.6,94.386,92.5,"1,140.72",2.56,2076.12,393425.4,3.1
2014-08-01,99.5743,149.33,94.551,88.0,"1,179.87",2.54,2068.54,393425.4,3.1
2014-09-01,99.68137,143.96,94.49,89.6,"1,129.55",2.41,2020.09,393425.4,3.1
2014-10-01,99.83168,128.3,94.205,92.2,"1,131.40",2.24,1964.43,407377.0,2.6
2014-11-01,100.0142,122.93,94.015,91.2,"1,118.80",2.14,1980.78,407377.0,2.6
2014-12-01,100.1945,118.66,94.006,101.0,"1,125.45",2.14,1915.59,407377.0,2.6
2015-01-01,100.3327,125.9,94.643,89.2,"1,158.50",2.04,1949.26,394273.0,2.4
2015-02-01,100.4278,142.8,94.587,84.8,"1,140.05",2.02,1985.8,394273.0,2.4
2015-03-01,100.4805,147.99,94.596,94.7,"1,111.85",1.87,2041.03,394273.0,2.4
2015-04-01,100.4918,149.28,94.625,92.9,"1,180.90",1.74,2127.17,411386.8,2.0
2015-05-01,100.4706,143.21,94.89,91.3,"1,064.90",1.88,2114.8,411386.8,2.0
2015-06-01,100.43,145.53,94.909,95.1,"1,054.00",1.77,2074.2,411386.8,2.0
2015-07-01,100.3973,143.66,95.08,92.1,"1,066.30",1.78,2030.16,420790.8,3.3
2015-08-01,100.378,135.41,95.213,90.0,"1,078.00",1.74,1941.49,420790.8,3.3
2015-09-01,100.3726,133.04,94.966,93.6,"1,068.00",1.65,1962.81,420790.8,3.3
2015-10-01,100.3666,125.94,94.966,95.5,"1,095.50",1.63,2029.47,431569.8,3.4
2015-11-01,100.3548,117.68,94.786,94.7,"1,124.65",1.75,1991.97,431569.8,3.4
2015-12-01,100.3378,107.79,95.07,104.1,"1,119.25",1.72,1961.31,431569.8,3.4
2016-01-01,100.3229,119.5,95.232,90.5,"1,120.50",1.63,1912.06,413495.1,2.8
2016-02-01,100.3294,111.27,95.64,87.1,"1,157.00",1.47,1916.66,413495.1,2.8
2016-03-01,100.3632,120.76,95.393,97.8,"1,124.50",1.5,1995.85,413495.1,2.8
2016-04-01,100.4158,126.68,95.573,94.0,"1,140.25",1.47,1994.15,434536.3,3.6
2016-05-01,100.4854,114.27,95.63,95.6,"1,199.00",1.46,1983.4,434536.3,3.6
2016-06-01,100.5736,108.63,95.611,99.5,"1,182.75",1.33,1970.35,434536.3,3.6
2016-07-01,100.677,117.13,95.431,94.9,"1,223.25",1.22,2016.19,439479.8,2.8
