날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2010년 06월,동(호),3821,48,137,246,77,49,103,185,294,194,107,262,233,99,107,164,122,135,46,117,173,102,199,241,206,175
,면적,310,3,12,26,6,4,7,14,24,15,7,17,23,8,9,13,9,10,3,10,14,8,19,20,17,13
2010년 07월,동(호),3627,39,130,96,100,74,91,105,237,136,140,252,390,94,117,144,139,141,29,108,103,95,214,261,238,154
,면적,297,3,13,9,8,6,7,8,19,11,9,16,38,7,9,11,10,10,2,9,9,8,22,21,20,12
2010년 08월,동(호),4094,27,124,80,69,66,102,96,453,41,119,250,675,99,148,131,116,127,48,112,242,113,219,229,239,169
,면적,338,2,15,7,6,6,8,7,33,3,8,15,67,8,13,11,8,9,4,10,20,7,21,19,20,12
2010년 09월,동(호),3995,21,101,195,110,56,120,107,374,51,117,198,518,76,87,140,178,112,38,99,182,168,209,278,271,189
,면적,325,1,13,15,9,5,9,8,37,4,8,12,48,6,7,11,14,8,3,8,15,9,20,22,22,14
2010년 10월,동(호),5116,28,159,135,109,73,176,87,347,78,179,380,570,125,153,236,257,181,65,151,176,123,258,388,397,285
,면적,413,3,21,11,8,6,13,7,26,6,12,24,52,9,12,18,20,13,5,14,14,9,25,32,33,21
2010년 11월,동(호),7062,36,91,100,193,103,193,134,368,155,234,542,706,154,232,312,304,240,80,207,204,221,583,670,653,347
,면적,565,3,8,8,15,9,15,9,28,12,16,34,64,12,17,25,23,17,6,17,17,16,57,55,55,26
2010년 12월,동(호),9182,56,154,184,214,209,228,196,423,222,303,769,490,206,417,512,394,323,91,290,295,246,746,924,769,521
,면적,754,5,14,17,17,20,18,15,35,17,20,49,44,17,31,43,29,25,7,25,25,18,75,84,66,40
2011년 01월,동(호),7089,56,211,90,233,161,256,272,382,134,252,576,281,169,347,287,282,310,70,239,351,208,465,555,545,357
,면적,658,4,22,7,17,13,21,125,30,11,18,37,25,13,27,21,19,22,5,19,31,15,42,43,43,26
2011년 02월,동(호),7739,52,99,120,292,191,298,229,439,109,320,637,320,190,506,320,410,402,116,291,325,248,373,529,467,456
,면적,595,4,9,10,22,16,24,18,33,8,23,40,28,14,40,25,29,29,9,23,27,18,34,44,37,34
2011년 03월,동(호),9472,76,116,158,364,253,382,391,590,209,368,754,386,256,526,382,480,442,124,328,346,273,399,523,663,683
,면적,738,6,10,14,28,22,31,33,45,15,25,48,35,20,43,30,33,32,9,25,29,20,37,43,53,52
2011년 04월,동(호),7062,69,91,233,228,165,254,255,430,124,318,525,256,177,265,286,319,354,104,226,305,200,331,459,576,512
,면적,551,5,8,22,18,15,19,19,35,9,21,34,21,13,21,23,23,25,8,18,24,15,32,36,48,39
2011년 05월,동(호),6229,59,46,190,185,116,238,189,323,105,250,449,227,209,194,286,274,259,81,178,335,183,315,479,455,604
,면적,487,5,4,19,15,11,19,15,25,8,17,28,19,14,16,24,20,18,6,14,28,13,31,36,37,47
2011년 06월,동(호),5844,54,57,88,153,102,343,150,390,139,219,425,205,186,195,350,412,341,56,175,207,146,305,447,339,360
,면적,454,3,4,8,12,9,27,11,32,11,15,26,17,13,16,29,22,26,4,14,17,11,30,37,29,30
2011년 07월,동(호),5168,47,57,82,149,87,471,173,246,111,198,412,195,115,173,284,251,309,58,179,182,131,234,382,383,259
,면적,403,4,6,8,12,7,37,12,19,9,14,25,15,9,14,23,18,24,5,13,15,10,21,30,33,20
2011년 08월,동(호),6178,40,75,87,223,105,212,180,412,93,233,489,224,143,246,389,351,572,82,216,187,144,263,425,431,356
,면적,474,3,6,7,21,8,17,12,32,7,15,29,18,10,21,32,24,44,6,17,15,11,22,34,35,26
2011년 09월,동(호),6128,55,93,86,184,88,190,174,382,128,269,499,328,129,197,442,312,623,74,228,177,192,256,387,340,295
,면적,475,4,8,7,17,7,14,12,29,9,18,30,30,10,16,36,20,50,5,18,14,14,23,34,28,22
