날짜,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2009-04-01,25.282743072715764,22.252424143178395,43.542839349443994,38.20319327039067,30.417579255784467,27.631381459705267,30.738993850354955,24.7553567511748,28.289378697304723,27.348090777804572,39.245012112548025,31.373421397670153,28.149730810179342,35.355150943030154,38.887741064263096,35.56206308594669,29.527856507053833,35.729425968359074,40.32301283007102,35.50241897806424,30.23949328185636,40.75043880249309,41.01990440785239,40.5146169355227,40.2541521015527
2009-05-01,25.380230788737375,22.45951882240618,43.63330682127365,38.16181038042118,30.336311204687505,27.638845529146355,30.661726991312072,24.69051393128541,28.227116480307394,27.159647857609095,39.210402137949174,31.34894082933279,27.9460547181648,35.70714365218961,39.64085477002108,35.669737256608784,29.494551786432517,35.72827506838493,40.51463296732959,35.56828967796034,30.213431539561924,40.90469057532555,41.14719452058069,40.589738296269324,40.40256232000696
2009-06-01,25.50744735078133,22.719736791660313,43.763777005074125,38.19451656010855,30.240571188086246,27.71033124173266,30.5792568956145,24.85553693498071,28.137412177861894,27.360464548395434,39.54350003778051,31.38163774881435,27.85668022859764,36.27996699480998,40.17216043396029,35.858828685659205,29.66662581250675,35.73450204465884,41.028042237094304,35.610965077875676,30.33436446343165,41.24932366199592,41.75338081006095,41.244498168103306,40.74855755129293
2009-07-01,25.46373656856118,23.022177889448205,44.079457779968536,38.18439567766801,30.460916701298224,27.746912429029052,30.57135210815068,25.081052796816223,28.116714952249062,28.257520393256,40.369974555962116,31.402812856552558,27.730352036389068,36.74631332287202,40.79794826751641,36.03279319233498,29.8868267105112,35.57677531106948,41.41711875675127,35.70030010875733,30.37570123270402,42.37673018630897,42.621983976998756,42.32225120900964,41.76102072351479
2009-08-01,25.561606635470913,23.131992338430514,44.151730349563294,38.23355832847642,30.66767654371492,27.765918623248968,30.672543691424764,25.230648089087072,28.31027147003014,28.701241102547314,40.710094590069694,31.375855337194203,27.815474837341426,37.14040417678009,41.000358641850134,36.12300659011298,30.047299493426365,35.33601080546278,41.59316562706975,35.96622524807063,30.419404653436793,42.949867513725856,43.11184987203067,42.78353107084871,42.53024977427186
2009-09-01,26.28886795900166,23.51924284365044,44.52786776659911,38.38016311250431,31.03915395910168,28.357191899751268,30.82877993595843,25.873063495340315,28.54800485630713,29.391082132618866,41.27648122273718,31.58854766785598,28.61794968013292,37.67757461371997,41.7940652619188,36.45783347876927,30.225005740234344,36.30504642282199,42.249397696923346,36.56072864155501,30.883448832217447,43.960025863978444,44.062777378280806,43.61460922453976,43.680174775456386
2009-10-01,26.735016179264598,23.733277766789026,44.65496964762973,38.361264596380494,31.110355615785227,28.486876027603646,30.938887865167946,25.956257347960342,28.64930996532135,29.566381624231308,41.48015532728323,31.679746727999213,28.78379946323121,38.14259560078531,41.830558490822014,36.58032333971934,30.357386291971554,36.778694077090904,42.42403703021745,36.48787728711411,31.031265293370243,44.08159661710932,44.173267802768294,43.773503389914346,43.61742519822476
2009-11-01,26.65084556530225,23.734980873157436,44.771741367767234,38.35323229337468,31.397393017393398,28.491983415617177,30.899876165837387,25.960842143672018,28.687829917150236,29.409914999086435,41.41342894911973,31.541668513375782,28.746705389729087,38.05697281237878,41.793132513058445,36.52987199282944,30.347744380332497,37.02938644552885,42.46548612444588,36.39298952711645,31.0539755069794,44.21477590324793,43.967686475984145,43.648988305375255,43.23747697601662
2009-12-01,26.682435123700348,23.708360288591372,44.84694973689434,38.32095010993357,31.428965137698455,28.492647045105446,31.105336474186224,25.86448067826272,28.679391824841183,29.359181304047116,41.396574703040194,31.311101303816503,28.732285572827244,37.885436743176456,41.67261292782989,36.460871206616595,30.324643603868886,37.11871384712913,42.45165382054212,36.3565024238227,30.923210198407013,44.08936200255948,43.870851228389554,43.54696430220194,43.169364673427616
2010-01-01,26.774897453563813,23.652557250614528,44.84569691030376,38.314354754838625,31.468757232225908,28.55138968542207,31.10458694432468,25.87207852439543,28.691779839451787,29.308514228801624,41.30793367424133,31.269615708618755,28.68803743638912,37.94111415410687,41.66139330727019,36.4216220927762,30.295240814425373,36.88304827375258,42.57360118923177,36.35078046267933,30.962516473142465,44.217792728857056,43.906973930594006,43.62934921265074,43.63910102622432
