,날짜,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,종로구_label,중구_label,용산구_label,성동구_label,광진구_label,동대문구_label,중랑구_label,성북구_label,강북구_label,도봉구_label,노원구_label,은평구_label,서대문구_label,마포구_label,양천구_label,강서구_label,구로구_label,금천구_label,영등포구_label,동작구_label,관악구_label,서초구_label,강남구_label,송파구_label,강동구_label
97,2011-04-01,26.18429202707234,23.026102738130863,43.08203543146168,36.94652381329091,30.740680294655792,27.626229562707817,30.99797658722504,23.48539040163051,26.246472738456443,24.98291864720894,37.77073552818893,27.919340952484784,27.43758504421054,36.707460285671104,39.60742680724284,33.32813820260618,28.459843408500262,34.280960891617774,40.37808613177431,35.292789037224445,29.460087186152258,44.48700509208048,42.71751339124648,42.20384480497458,42.62981978158217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,2011-05-01,26.10364878271439,22.969028879157687,43.00814630644263,36.90349234857736,30.707891922539137,27.539459034578197,30.93636829051352,23.50213643228581,26.18242449980726,24.951870343548745,37.692230791424784,27.789601819455168,27.368960658385017,36.64842518886739,39.4545843353355,33.214689050504695,28.383903601439027,34.16314773877415,40.24877163191087,35.23192844019636,29.321762483185427,44.434367866179336,42.59945792194501,41.99525512485161,42.3959349789714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,2011-06-01,26.11220009954134,22.93733826452668,42.96354858926673,36.88031850788755,30.67115872286024,27.462613613162578,30.887182506115263,23.495766585789333,26.12275365610803,24.879377677650137,37.59046345331581,27.73521885510007,27.27042134481481,36.44397046808619,39.30318589016466,33.01776654427396,28.293400864760404,33.96247227139186,40.168105892691166,35.161746872380434,29.26483144022233,44.34957695254694,42.46243881866742,41.990343577963365,42.06314987763463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,2011-07-01,25.99880671160031,22.84443586065133,42.9194466515685,36.82237109415478,30.618614845387977,27.37786091551585,30.766459367954173,23.32567555848056,26.01472710758305,24.743567282050023,37.43614631161893,27.646003801153952,27.165695092321272,36.27789487914816,39.0762413799156,32.84901503879544,28.17083274669658,33.732913037959655,40.083953047553344,34.90701741791269,29.00012916586741,44.26018887104213,42.213467123712064,41.86678351383756,41.59386924716098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,2011-08-01,25.82438674010531,22.663692127452943,42.765998967024665,36.65062934637591,30.51286381484913,27.33201357415616,30.580263639450777,23.15622630158981,25.783870912932844,24.47202536691772,37.15221863955936,27.376754170618085,27.03503960268408,36.12282280125897,38.9110566650213,32.554583087776784,28.0274258031654,33.554589254599534,39.91940114083688,34.76128959761085,28.901246762000376,44.15883424448037,42.04439840545091,41.85079474707767,41.452295999265445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,2011-09-01,25.65729675945417,22.493830233389097,42.52263623144971,36.49062998660716,30.346709813261864,27.17804441736229,30.315174994090256,22.94110981915637,25.45941120293503,24.23705644692912,36.80495817928414,27.200993495173535,26.777447139844952,35.92980427045243,38.62109810689076,32.15137064198834,27.825471556334225,33.35269747471724,39.695647110623206,34.50662944721372,28.74754742397114,44.09529565114928,41.8272367371796,41.654935829988624,41.32140690375866,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,2011-10-01,25.547750372674777,22.375595440045664,42.30427130628804,36.35444988958769,30.21300541938933,26.945338089980027,30.19280752921352,22.84366404875942,25.29840799027631,24.03807047314441,36.53916117973883,26.978524770775515,26.62967764412205,35.76638987725691,38.18464884110767,31.952620617466675,27.61477665365437,32.887566645514624,39.464007714277294,34.34754002413227,28.60518538446195,43.96902184531178,41.53846611429394,41.20182401012298,41.06065605192128,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
104,2011-11-01,25.41682964214065,22.299620523584696,42.226418225500254,36.24949334260972,30.11299917850156,26.71367701646997,30.11876240090948,22.771650812639724,25.13158699246244,23.89122538028092,36.32647923226954,26.894376028495376,26.519283269244315,35.683368006454145,37.77825671934535,31.71018459490835,27.50602952083765,32.77670902760442,39.28531171161686,34.25508114740164,28.531395285063965,43.76413503797969,41.373323688505856,40.77162772385525,40.78503718349168,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
105,2011-12-01,25.38644224082393,22.2053408783772,42.11594758995239,36.19933433926808,30.04155747214931,26.64541570532047,30.01474309262101,22.8355616714699,24.99843407962796,23.782535867189385,36.178448107571725,26.82584740876972,26.433115701384253,35.65743393720279,37.629470000647046,31.616544791046525,27.374234319245787,32.69077409221183,39.10155936466303,34.22197528774568,28.413024017703364,43.66519067583457,41.250625249786005,40.50510576809336,40.51317526440911,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,2012-01-01,25.37958360454344,22.06987469419973,42.05930206591184,36.18294430743757,30.010307849479933,26.63076131176412,29.988036598556796,22.788350058537763,24.9551017915442,23.65705206460549,36.12198367588813,26.76913512942934,26.34500836175728,35.51491157733656,37.313521962938935,31.53988902056582,27.31085859580982,32.684859392311274,38.92432770673518,34.1953267648771,28.35282838074785,43.51329439194645,41.04297157367281,40.37405143290465,40.44871675518012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,2012-02-01,25.37695779799169,21.95498013544292,42.02536715283024,36.1485536054258,29.95338672509675,26.497140526968582,29.96886544453117,22.747583930503755,24.85157290374147,23.592735199287628,36.07522358949475,26.643993639193397,26.30386407140728,35.27990735672867,36.933744898744216,31.39566583306024,27.266308058616453,32.636035962588515,38.85220623610315,34.148509546496335,28.289956895362096,43.43917822198214,40.85870707851445,40.22009517318799,40.36172251155093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,2012-03-01,25.358825467689,21.829074030741296,41.98763516064374,36.03171075289093,29.738911052676613,26.34638623883706,29.86954984911421,22.59335445833082,24.710259480061232,23.332483836010145,35.94942664123521,26.46722766617977,26.171042283799903,35.03805298702799,36.61266850399157,31.062228354467507,27.174267848650164,32.533681956500715,38.73606420473685,34.104352541359475,28.20152003457519,43.2521361643342,40.57542793864487,39.91692273518211,40.23935629240688,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,2012-04-01,25.223784233361187,21.65893033997977,41.94046535075426,35.91469337881938,29.49908156887049,26.213299960417874,29.72985699405329,22.349777659646985,24.29268066749668,23.01947148390238,35.720275214618184,26.355040526526217,25.96771887206649,34.70387615562892,36.160452234505286,30.633609843358045,26.972531907946102,32.34357348247688,38.50568773363708,33.834256186479486,27.85479462285449,42.93148212087996,40.121991344408826,39.3237524650135,39.88802116857117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
