,날짜,전국,서울,강북14개구,강남11개구,6개광역시,부산,대전,대구,인천,광주,울산,전국_label,서울_label,강북14개구_label,강남11개구_label,6개광역시_label,부산_label,대전_label,대구_label,인천_label,광주_label,울산_label
72,2009-03-01,26.27142317690441,37.44781853883507,34.029184518022284,38.80226000775207,16.816765058026615,9.613099571027682,9.690256882242746,28.57668692770395,13.61849180554397,15.76367226806009,22.26947752689881,1,1,1,1,1,1,0,0,-1,1,1
73,2009-04-01,26.28808623339356,37.63621128958598,33.981416356424695,39.175860996629794,16.75028225593126,9.796319489531658,9.41213468638036,28.382161125205087,13.47729838712146,15.794800608154985,22.187423159614838,1,1,1,1,1,1,1,1,0,1,1
74,2009-05-01,26.378933938797974,37.726475820131085,33.962054621710344,39.35156231616671,16.833467891957053,10.041348531017782,9.463655569031385,28.411558800187365,13.333921440849938,16.015720929425722,22.14624641842087,1,1,1,1,1,1,1,1,0,1,1
75,2009-06-01,26.5277584263087,38.01621224455506,34.143794375991035,39.72895086673015,16.937950507658314,10.314797536514414,9.430554591940162,28.371640992542314,13.188110860528385,16.371553873984457,22.418207857343138,1,1,1,1,1,1,1,0,0,1,1
76,2009-07-01,26.751012742937277,38.53208892818491,34.558287706751834,40.331058184210605,17.062926581052533,10.530572790596723,9.47714806009868,28.356603079610093,13.149171173860582,16.756276816656293,22.622380203689204,1,1,1,1,1,1,1,0,0,1,1
77,2009-08-01,26.950805723918094,38.81242756706024,34.78456506574884,40.65778610576633,17.243460957622244,10.891416962249249,9.483159078234875,28.3991379134202,13.10597985319108,17.168429337872627,22.96094649640809,1,0,0,1,1,1,1,0,1,1,1
78,2009-09-01,27.45764895023775,39.45170143044749,35.31613053876615,41.390611206258185,17.806171152785094,11.954795208643963,9.793726735210164,28.77665795602609,13.19255129375128,18.03265708938796,23.32372779105795,1,0,0,0,1,1,1,0,1,1,1
79,2009-10-01,27.6629531950866,39.57227460542975,35.45382157950708,41.50282275615199,18.140165898429423,12.510212821591429,10.084183607883356,28.93462758480536,13.244194814399703,18.657778717737163,23.589025160199093,1,0,0,0,1,1,1,0,1,1,1
80,2009-11-01,27.847024797736,39.50969451642118,35.41309884381388,41.42435040243876,18.60502046945164,13.611622446049894,10.27001870179758,28.980744651356776,13.244413125675884,19.41409135118674,24.015659021705797,1,0,0,0,1,1,1,-1,1,1,1
81,2009-12-01,27.937961368002185,39.45664499764499,35.38568201343008,41.35180734106687,18.890893257974938,14.260892308194132,10.520894788656255,28.90710603882852,13.3456649259705,19.839166534800025,24.24410159744287,1,0,-1,0,1,1,1,-1,1,1,1
82,2010-01-01,28.019639263957107,39.48546762027104,35.36304755252643,41.419436975920206,19.106046479770637,14.743266331759056,10.63680092830676,28.88478714548664,13.449842160321865,20.15118376437408,24.442170088145712,1,-1,-1,-1,1,1,0,-1,1,1,1
83,2010-02-01,28.256321653734517,39.61385598901791,35.39136408947852,41.62387822722181,19.513718972619817,15.738889660885055,10.704200141978305,28.82959859596703,13.577138815549391,20.909700952065467,24.67707694866369,0,-1,-1,-1,1,1,0,-1,1,1,1
84,2010-03-01,28.42100891749332,39.56340781717639,35.33017151837276,41.58123235303289,19.91474041742703,16.884635199902746,10.73407682424047,28.82016419413467,13.738186834285733,21.171166688661405,24.91454437240016,0,-1,-1,-1,1,1,0,-1,0,1,1
85,2010-04-01,28.52892034015836,39.43171480491163,35.131830611573456,41.49652844452757,20.33585672689691,18.08292574625486,10.838097541398923,28.63342127050877,13.88488713090093,21.68081632334241,25.181258993301704,0,-1,-1,-1,1,1,0,-1,0,0,1
86,2010-05-01,28.54112387158805,39.190776520759634,34.92161866158682,41.22925142236339,20.66094113426024,19.0267833457935,10.933113805520048,28.36833013904669,14.066921689964463,21.98889084712998,25.529049873620878,0,-1,-1,-1,0,1,0,-1,0,1,0
87,2010-06-01,28.483336487771773,38.82569750739465,34.50223548675386,40.8974244395324,20.86466701670233,19.871608812729303,10.917155580397528,27.92160634990185,14.309683324547729,22.08383233214353,25.629883033441157,0,-1,-1,-1,1,1,0,-1,0,1,0
88,2010-07-01,28.37487697454253,38.48178277270578,34.151125500876844,40.55293988017326,20.941018998704028,20.419977600327424,10.855407482299578,27.38028980828535,14.36352419729135,22.162732717826845,25.823432022880628,1,-1,-1,-1,1,1,0,-1,0,1,0
89,2010-08-01,28.30884654481554,38.17544653767012,33.85366900404784,40.23494068994627,21.09762592925926,20.972781290449365,10.846168209921617,27.079389221888437,14.526194773224734,22.418777862707792,25.79118595340925,1,-1,-1,-1,1,1,1,-1,1,1,1
90,2010-09-01,28.37202113374016,37.980423958877466,33.61466647292358,40.06931415790538,21.37718928316776,21.72928649175204,10.95059424586322,26.811213179410885,14.663438680745076,22.80271230854432,26.0256744268946,1,-1,-1,-1,1,1,1,-1,1,1,1
