날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2009년 12월,동(호),4457,98,56,97,148,103,117,109,179,47,179,377,86,136,188,235,216,213,64,192,137,136,314,408,331,291
,면적,346,4,4,10,12,8,9,7,14,3,13,25,7,10,15,18,15,16,5,15,11,10,30,36,27,21
2010년 01월,동(호),3870,29,39,87,112,66,110,75,153,36,128,273,90,103,124,213,176,173,48,216,95,94,350,450,364,266
,면적,305,3,3,8,9,6,9,5,11,3,9,18,8,8,10,17,12,13,4,16,8,7,34,38,31,19
2010년 02월,동(호),4719,41,50,84,147,104,159,118,163,48,171,375,156,115,181,282,214,228,62,204,195,174,421,398,310,319
,면적,366,3,4,7,11,9,13,8,13,4,11,23,14,9,13,22,15,16,5,16,15,13,42,33,25,23
2010년 03월,동(호),5075,50,60,116,175,167,172,157,200,41,181,408,215,146,171,293,247,252,67,243,170,167,371,352,279,375
,면적,392,4,5,11,14,14,13,11,15,3,13,25,19,11,12,23,18,18,5,19,14,12,37,29,21,27
2010년 04월,동(호),3695,51,46,91,118,100,121,128,198,58,160,298,168,109,144,215,194,224,61,134,122,123,220,219,154,239
,면적,289,4,4,9,9,10,10,9,15,4,11,18,15,9,11,18,14,15,4,10,10,9,22,18,13,18
2010년 05월,동(호),2811,40,35,52,106,72,97,98,116,45,111,252,116,132,123,140,189,153,37,103,92,70,128,205,157,142
,면적,215,3,2,6,9,6,8,7,9,3,7,16,10,11,9,11,13,10,3,8,7,5,12,16,12,11
2010년 06월,동(호),2394,44,33,51,59,41,67,101,109,30,92,214,76,83,80,140,122,115,40,82,71,84,140,186,182,152
,면적,184,2,2,5,5,3,6,7,9,2,6,13,7,6,6,11,9,9,3,6,6,6,13,14,15,11
2010년 07월,동(호),2437,34,33,31,87,62,62,61,80,34,125,200,108,84,67,128,138,120,26,76,62,82,186,200,214,137
,면적,192,2,3,3,7,5,5,5,6,3,8,12,10,6,5,9,10,9,2,6,5,7,19,15,19,11
2010년 08월,동(호),2358,24,25,43,48,55,72,60,95,23,102,209,148,74,79,122,111,102,42,94,58,65,171,199,195,142
